elapsed (s),x-axis (g),y-axis (g),z-axis (g),x-axis (T),y-axis (T),z-axis (T),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),illuminance (lx)
0,-0.065,-0.005,0.998,0.000023438,-0.000023812,-0.000012813,0.732,0,-0.061,0
0.011,-0.065,-0.006,1.007,0.00002125,-0.000023438,-0.000012,0.549,0.061,0.122,230.027
0.021,-0.063,-0.005,1.005,0.000020875,-0.000024188,-0.000012,0.061,-0.061,0.183,224.704
0.03,-0.063,-0.005,1.004,0.000019812,-0.000023125,-0.000012,0.061,-0.244,0.122,229.358
0.04,-0.063,-0.006,1.002,0.00002125,-0.0000235,-0.000012813,-0.122,0.122,0,229.358
0.05,-0.063,-0.005,1.004,0.000019438,-0.000023125,-0.000012813,-0.122,0.122,0.183,228.69
0.06,-0.063,-0.004,1.005,0.000022,-0.000023812,-0.00001125,-0.244,0.305,-0.061,229.358
0.071,-0.064,-0.004,1.005,0.000019812,-0.0000235,-0.00001125,0,0.427,0.183,224.704
0.079,-0.064,-0.005,1.004,0.000020875,-0.0000235,-0.000012,0,0.244,-0.122,222.929
0.09,-0.064,-0.005,1.005,0.000019812,-0.000024188,-0.000011625,-0.122,0.366,-0.427,222.929
0.1,-0.064,-0.006,1.005,0.000020563,-0.000023125,-0.000012,0.061,0.061,-0.122,224.704
0.11,-0.063,-0.005,1.004,0.000020875,-0.0000235,-0.000012,-0.122,0.183,0,229.358
0.119,-0.063,-0.004,1.003,0.000020875,-0.000023125,-0.000012438,0.122,0.183,0.061,230.027
0.129,-0.063,-0.005,1.004,0.00002125,-0.000023812,-0.000011625,0.244,0.366,0.122,229.358
0.14,-0.061,-0.005,1.006,0.000021625,-0.000024562,-0.000011625,0.244,0,0.244,338.004
0.15,-0.063,-0.007,1.004,0.000021625,-0.000024188,-0.000012,0.549,0,0.122,338.004
0.159,-0.063,-0.006,1.004,0.000021625,-0.0000235,-0.000011625,0.183,-0.061,-0.061,337.335
0.169,-0.063,-0.004,1.003,0.000022,-0.00002275,-0.000012438,-0.122,0.244,0.122,337.335
0.179,-0.064,-0.004,1.004,0.000020563,-0.000022375,-0.000012,0.183,0.183,0.122,338.004
0.189,-0.065,-0.005,1.004,0.000020563,-0.000024188,-0.000012438,0.366,0.061,-0.183,337.335
0.198,-0.063,-0.005,1.004,0.000021625,-0.000023812,-0.00001325,0.549,0.122,0,338.004
0.208,-0.065,-0.004,1.006,0.000020875,-0.000024188,-0.000010438,0.244,0.061,0.183,
0.219,-0.065,-0.006,1.005,0.000020875,-0.000023812,-0.000011625,-0.427,0.183,0.183,
0.229,-0.063,-0.006,1.004,0.000020187,-0.000023812,-0.000011625,-0.549,0.183,0,
0.239,-0.064,-0.004,1.005,0.000020875,-0.0000235,-0.00001125,-0.549,0.183,0,
0.248,-0.064,-0.005,1.003,0.000021625,-0.0000235,-0.000012438,-0.305,0.244,0.061,
0.258,-0.062,-0.004,1.002,0.000020875,-0.00002275,-0.000012,-0.122,-0.061,-0.061,
0.268,-0.063,-0.005,1.005,0.000020875,-0.0000235,-0.000012,-0.183,0.244,-0.061,
0.279,-0.065,-0.003,1.005,0.000020563,-0.0000235,-0.000012813,-0.183,0.122,0.061,
0.288,-0.063,-0.004,1.004,0.000020187,-0.0000235,-0.000012438,-0.244,0.061,0,
0.298,-0.063,-0.005,1.003,0.00002125,-0.000024188,-0.000012,-0.061,0,0,
0.308,-0.064,-0.004,1.005,0.000020563,-0.000023812,-0.000012438,0.122,0.183,-0.061,
0.318,-0.065,-0.004,1.005,0.000020875,-0.000023125,-0.000012,0.122,0.122,0.122,
0.327,-0.064,-0.004,1.003,0.000020875,-0.0000235,-0.000012813,0.122,-0.122,0.122,
0.337,-0.063,-0.005,1.005,0.000020563,-0.0000235,-0.000011625,-0.305,0.122,0.122,
0.348,-0.063,-0.006,1.005,0.00002125,-0.000024188,-0.00001325,-0.122,0.122,0,
